id,name,category_id,price,quantity,created_at,barcode,is_deleted,deleted_at,unit
130,SAMYANG ROSE BULDAK  LEVEL 2,34,82,0,2025-08-31 06:08:10.486426+00,8801073115194,true,2025-09-27 01:46:21.231+00,pcs
132,JACK N   JILL  CHOCOLATE  PRETZEL,34,14,9,2025-08-31 06:18:14.269242+00,4800016628269,false,,pcs
133,COLGATE MAXIMUM CAVITY PROTECTION,30,10,13,2025-08-31 06:25:17.26279+00,8850006325216,false,,pcs
134,PALMOLIVE ANTI DUNDRUFF (15ML),30,7,17,2025-08-31 07:12:37.376637+00,8850006480748,false,,pcs
135,PALMOLIVE INTENSIVE MOISTURE (15ML),30,7,8,2025-08-31 07:16:43.657757+00,8850006493014,false,,pcs
136,PALMOLIVE SILKY STRAIGHT (15ML),30,7,29,2025-08-31 07:27:43.395711+00,8850006493045,false,,pcs
137,PALMOLIVE NOURISHED & LONG (15ML),30,7,7,2025-08-31 07:29:36.198996+00,8850006480731,false,,pcs
138,PALMOLIVE ULTRA SMOOTH (15ML),30,7,18,2025-08-31 07:31:04.592966+00,8850006493038,false,,pcs
139,NESTEA LEMON ICED TEA (20G),31,22,12,2025-08-31 07:31:08.112352+00,4800361379557,false,,pcs
140,PALMOLIVE DAMAGE REPAIR (15ML),30,7,7,2025-08-31 07:32:05.624691+00,8850006480786,false,,pcs
141,PALMOLIVE HEALTHY SHINE (15ML),30,7,13,2025-08-31 07:33:44.494216+00,8850006480724,false,,pcs
142,GARD ANTI-DUNDRUFF (12ML),30,6,10,2025-08-31 07:40:50.872648+00,8850006536056,false,,pcs
143,SIMPLY G SHAMPOO PERFUME-D ARGAN OIL,30,6,1,2025-08-31 07:42:16.146639+00,4809015759899,false,,pcs
145,SIMPLY G KERATIN  CAMELLIA OIL & ALOE VERA (18ML),30,8,1,2025-08-31 07:44:03.26609+00,4809015759059,false,,pcs
148,SARAP PINOY CHAMPORADO (113.5G),31,46,0,2025-08-31 08:02:48.782163+00,4800552169127,false,,pcs
149,WHITE KING CHAM-O-RADO (227g),31,80,0,2025-08-31 08:05:43.780636+00,4800110021973,false,,pcs
154,CREAM SILK TWIN STANDOUT STRAIGHT (22ML),30,10,17,2025-08-31 08:17:15.732056+00,4800888283139,false,,pcs
155,CREAM SILK HAIRFALL DEFENSE,30,7,0,2025-08-31 08:18:35.89627+00,4800888139283,false,,pcs
156,SIMPLY G PERFUME-B PERFUMED KERATIN ARGAN OIL (14ML),30,8,5,2025-08-31 08:22:21.663283+00,4809015759776,false,,pcs
157,DOVE CERAMIDE INTENSE REPAIR CONDITIONER (12ML),30,7,20,2025-08-31 08:23:22.564746+00,4800888206565,false,,pcs
158,VITAKERATIN COLOR SHINE (24ML),30,6,16,2025-08-31 08:24:55.63623+00,4800888230485,false,,pcs
