sale_id,line_items,total_qty,total_from_items
2633,70,123,4930
2307,39,84,3740
2728,47,82,3526
1526,23,54,3316
3687,56,96,2880
3587,15,23,2747
1830,24,33,2732
519,15,32,2499
2648,43,76,2480
671,17,32,2197
4085,27,55.917,2111.894
5325,28,34,1872
704,32,46,1812
5124,14,35.85,1779.6
436,16,49,1770
4473,19,28,1693
5266,19,49,1623
4790,18,36,1556
5086,18,42,1495
203,9,15,1441
3713,22,26,1306
2083,8,16,1292
1612,19,29,1274
1721,8,14,1267
4274,10,14,1262
3307,12,20,1248
3473,11,14,1224
4914,12,18,1221
2041,22,54,1176
2537,1,1,1153
87,9,12,1142
4410,11,25,1141
1583,17,25,1117
411,7,10,1111
1800,11,21,1073
2653,30,75,1064
2570,4,7,1040
4755,5,5.61,1039.81
4988,1,1,1033
4282,9,10.2,1032
3870,5,7.05,1021.25
3765,19,30,1017
900,5,6,1014
2977,8,13,998
931,1,1,995
2299,13,14,984
1017,10,12,980
4586,11,14.41,979.62
2654,23,36,963
4971,8,10,962
