id,created_at_ph,total_purchase,items_total,diff
5664,2025-10-02 18:48:54.27726,326.64,326.64,0.0000146484375136424
5595,2025-10-02 16:13:12.02415,522.2,522.2,0.0000122070312045253
5636,2025-10-02 17:43:10.54533,886.8,886.8,-0.0000122070312045253
5661,2025-10-02 18:43:49.887151,349.76,349.76,0.00000976562500909495
5622,2025-10-02 17:04:25.76434,248.4,248.4,-0.00000610351563068434
5631,2025-10-02 17:26:55.928774,183.76,183.76,-0.00000549316405340505
5588,2025-10-02 16:03:37.060314,182.76,182.76,-0.00000549316405340505
5644,2025-10-02 17:59:38.461504,180.48,180.48,-0.00000427246092726818
5628,2025-10-02 17:14:45.793186,97.8,97.8,0.00000305175781534217
5563,2025-10-01 20:31:24.098687,253.2,253.2,-0.00000305175780113132
5589,2025-10-02 16:06:10.497505,171.08,171.08,0.00000183105467499445
5611,2025-10-02 16:50:48.778919,50,50,0
5551,2025-10-01 06:15:39.682679,38.25,38.25,0
5662,2025-10-02 18:45:48.304823,315,315,0
5593,2025-10-02 16:11:05.084279,160,160,0
5558,2025-10-01 11:55:55.65485,34,34,0
5601,2025-10-02 16:19:38.934448,19,19,0
5632,2025-10-02 17:30:19.491168,118,118,0
5549,2025-10-01 06:04:51.220362,50,50,0
5617,2025-10-02 16:55:34.581318,105,105,0
5660,2025-10-02 18:40:44.389989,20,20,0
5554,2025-10-01 06:28:06.0284,48,48,0
5547,2025-10-01 05:36:37.935299,30,30,0
5592,2025-10-02 16:10:19.912172,57,57,0
5646,2025-10-02 18:10:34.299661,18,18,0
5555,2025-10-01 06:31:30.13913,42,42,0
5615,2025-10-02 16:54:41.790512,10,10,0
5553,2025-10-01 06:23:01.240155,16,16,0
5620,2025-10-02 16:59:42.893281,55,55,0
5587,2025-10-02 15:59:40.917295,52,52,0
5612,2025-10-02 16:52:35.132895,403,403,0
5556,2025-10-01 09:08:27.478178,2,2,0
5570,2025-10-01 21:18:00.649699,31,31,0
5666,2025-10-02 18:50:31.151276,26,26,0
5654,2025-10-02 18:32:17.098193,332,332,0
5576,2025-10-02 15:44:48.846173,10,10,0
5552,2025-10-01 06:22:01.995941,173,173,0
5604,2025-10-02 16:23:46.709617,60,60,0
5583,2025-10-02 15:57:11.623707,20,20,0
5602,2025-10-02 16:21:20.523288,78,78,0
5557,2025-10-01 09:09:10.44815,25,25,0
5626,2025-10-02 17:10:18.518625,41,41,0
5580,2025-10-02 15:50:31.585106,20,20,0
5609,2025-10-02 16:47:03.028501,103,103,0
5640,2025-10-02 17:52:54.772507,60,60,0
5606,2025-10-02 16:38:31.448434,43,43,0
5568,2025-10-01 21:08:49.01376,106,106,0
5647,2025-10-02 18:11:13.960908,36,36,0
5634,2025-10-02 17:37:14.136976,40,40,0
5648,2025-10-02 18:17:35.854727,51,51,0
5582,2025-10-02 15:56:46.514594,57,57,0
5567,2025-10-01 21:05:23.18744,73,73,0
5627,2025-10-02 17:13:28.774022,305,305,0
5600,2025-10-02 16:17:40.112813,19,19,0
5560,2025-10-01 17:51:22.391816,222,222,0
5573,2025-10-02 15:33:12.565868,15,15,0
5653,2025-10-02 18:30:31.799702,400,400,0
5619,2025-10-02 16:59:00.827119,150,150,0
5652,2025-10-02 18:28:45.942376,80,80,0
5561,2025-10-01 20:11:36.451298,506,506,0
5559,2025-10-01 16:14:05.932413,25,25,0
5548,2025-10-01 06:03:00.471639,100,100,0
5633,2025-10-02 17:31:47.428655,68,68,0
5574,2025-10-02 15:39:09.506701,15,15,0
5651,2025-10-02 18:27:15.904358,10,10,0
5657,2025-10-02 18:37:39.959229,30,30,0
5618,2025-10-02 16:58:23.122313,98,98,0
5585,2025-10-02 15:58:17.158031,9,9,0
5656,2025-10-02 18:34:19.072434,117,117,0
5625,2025-10-02 17:09:38.468714,18,18,0
5665,2025-10-02 18:50:05.301674,175,175,0
5659,2025-10-02 18:40:10.809205,42,42,0
5578,2025-10-02 15:46:41.046439,10,10,0
5598,2025-10-02 16:14:36.550698,21,21,0
5596,2025-10-02 16:13:31.139162,9,9,0
5610,2025-10-02 16:48:21.994294,5,5,0
5575,2025-10-02 15:41:52.00328,10,10,0
5621,2025-10-02 17:01:13.164558,7,7,0
5603,2025-10-02 16:22:16.893072,21,21,0
5645,2025-10-02 18:02:48.520513,94,94,0
5607,2025-10-02 16:39:05.258683,24,24,0
5637,2025-10-02 17:49:23.972232,10,10,0
5565,2025-10-01 20:51:06.170434,70,70,0
5630,2025-10-02 17:16:07.743846,21,21,0
5608,2025-10-02 16:40:05.634617,12,12,0
5629,2025-10-02 17:15:37.969391,10,10,0
5599,2025-10-02 16:17:22.241492,77,77,0
5577,2025-10-02 15:45:26.892249,15,15,0
5594,2025-10-02 16:11:32.925962,6,6,0
5564,2025-10-01 20:42:54.427412,487,487,0
5586,2025-10-02 15:58:51.412275,36,36,0
5650,2025-10-02 18:22:16.549828,19,19,0
5616,2025-10-02 16:54:59.660416,35,35,0
5655,2025-10-02 18:33:28.924925,98,98,0
5643,2025-10-02 17:58:13.552419,10,10,0
5635,2025-10-02 17:39:04.355749,196,196,0
5649,2025-10-02 18:19:18.060505,283,283,0
5581,2025-10-02 15:56:08.097117,25,25,0
5639,2025-10-02 17:50:41.974529,40,40,0
5566,2025-10-01 20:52:19.370054,102,102,0
5597,2025-10-02 16:14:08.644854,20,20,0
5638,2025-10-02 17:50:20.648126,56,56,0
5562,2025-10-01 20:16:37.966734,27,27,0
5571,2025-10-01 21:23:33.849923,51,51,0
5569,2025-10-01 21:15:10.576451,83,83,0
5624,2025-10-02 17:08:12.644442,44,44,0
5642,2025-10-02 17:57:14.522669,197,197,0
5663,2025-10-02 18:46:31.183694,20,20,0
5584,2025-10-02 15:57:39.003801,38,38,0
5550,2025-10-01 06:09:15.22011,19,19,0
5613,2025-10-02 16:53:49.833229,127,127,0
5641,2025-10-02 17:53:51.624343,352,352,0
5605,2025-10-02 16:37:11.250639,143,143,0
5591,2025-10-02 16:09:30.618425,150,150,0
5590,2025-10-02 16:08:20.069832,96,96,0
5623,2025-10-02 17:07:26.968997,60,60,0
5658,2025-10-02 18:38:26.473425,53,53,0
5614,2025-10-02 16:54:13.095495,19,19,0
5579,2025-10-02 15:48:11.323337,9,9,0
